state;year;burn;precipitation;region
Roraima;2010;1442;2023.8;North
Roraima;2011;1082;2238.8;North
Roraima;2012;1001;1559.9;North
Roraima;2013;994;1850.7;North
Roraima;2014;1868;1268.2;North
Roraima;2015;2062;1312.7;North
Roraima;2016;3499;1697.2;North
Roraima;2017;1101;1394.7;North
Santa Catarina;1998;59;1901.1;South
Santa Catarina;1999;364;1651.0;South
Santa Catarina;2001;200;518.2;South
Santa Catarina;2002;1715;1578.8;South
Santa Catarina;2003;4458;1142.5;South
Santa Catarina;2004;2955;1968.4;South
Santa Catarina;2005;1483;1910.3;South
Santa Catarina;2006;1855;1141.6;South
Santa Catarina;2007;1230;1424.2;South
Santa Catarina;2008;547;2888.9;South
Santa Catarina;2009;1330;1804.3;South
Santa Catarina;2010;974;2040.8;South
Santa Catarina;2011;926;2260.1;South
Santa Catarina;2012;1000;1461.6;South
Santa Catarina;2013;1046;1668.7;South
Santa Catarina;2014;1138;1602.3;South
Santa Catarina;2015;923;2291.5;South
Santa Catarina;2016;2346;1761.0;South
Santa Catarina;2017;2354;1522.3;South
Sao Paulo;1998;3196;1730.4;South East
Sao Paulo;1999;5459;1376.9;South East
Sao Paulo;2000;4128;1460.5;South East
Sao Paulo;2001;2926;1455.1;South East
Sao Paulo;2002;3539;1642.4;South East
Sao Paulo;2003;3306;1092.4;South East
Sao Paulo;2004;2864;1644.4;South East
Sao Paulo;2005;2123;1729.6;South East
Sao Paulo;2006;2209;2009.3;South East
Sao Paulo;2007;1877;1623.4;South East
Sao Paulo;2008;1193;1659.8;South East
Sao Paulo;2009;1165;2017.3;South East
Sao Paulo;2010;5194;1885.8;South East
Sao Paulo;2011;3573;1700.1;South East
Sao Paulo;2012;2159;1932.7;South East
Sao Paulo;2013;2055;1391.3;South East
Sao Paulo;2014;4717;1253.3;South East
Sao Paulo;2015;1984;1896.8;South East
Sao Paulo;2016;3235;1569.8;South East
Sao Paulo;2017;5406;1522.7;South East
Sergipe;1998;20;1155.9;North East
